date,team_1,team_2,outcome,recording_id
2025-03-25T20:00,[red]pablo_adam_dobro_alex_wouter,[white]bram_johan_tchi_giovanni_finnian,1,67e332b42eab8abd1cb449c6
2025-03-25T20:00,[green]sizwe_nima_raphael_dmytro_miro,[black]adi_sander_baris_karim_renaud,2,67e33ee0665c5bb7349201fd
2025-03-25T20:30,[red]pablo_adam_dobro_alex_wouter,[black]adi_sander_baris_karim_renaud,1,67e332b42eab8abd1cb449c6
2025-03-25T20:30,[green]sizwe_nima_raphael_dmytro_miro,[white]bram_johan_tchi_giovanni_finnian,1,67e33ee0665c5bb7349201fd
2025-04-01T20:00,[white]pablo_miro_wouter_raphael_maarten,[black]filip_karim_tchi_adam_kieran,2,
2024-01-30T20:00,[white]sizwe_akbar_adi_filip_wouter,[black]adam_pablo_victor_gianluca_maarten,1,
2024-02-06T20:00,[white]victor_jay_adi_wouter_sizwe,[black]michiel_filip_pablo_bishoy_dobro,1,
2024-02-13T20:00,[white]victor_tchi_jay_adam_maarten,[black]bishoy_akbar_sizwe_dobro_luca,1,
2024-02-15T20:00,[white]adam_pablop_marco_victor_alex,[black]giosafat_gianluca_sander_giovanni_maarten,1,
2024-02-20T20:00,[white]victor_luca_giovanni_adam_wouter,[black]dobro_akbar_adi_onur_filip,1,
2024-02-27T20:00,[white]victor_onur_akbar_tchi_luca,[black]giovanni_adam_giosafat_sizwe_adi,1,
2024-02-29T20:00,[white]giosafat_sizwe_pablo_baris_marco,[black]adam_wouter_bishoy_victor_pablop,1,
2024-03-05T20:00,[white]victor_luca_adam_dobro_samir,[black]filip_maarten_onur_adi_giovanni,1,
2024-03-07T20:00,[white]victor_adam_sizwe_giovanni_tchi,[black]wouter_pablop_akbar_maarten_marco,1,
2024-03-12T20:00,[white]adam_luca_akbar_maarten_sizwe,[black]giovanni_pablo_filip_giosafat_petit,1,
2024-03-19T20:00,[white]antoine_matthew_victor_pablo_luca,[black]filip_adam_maarten_bram_adi,1,
2024-03-21T20:00,[white]maarten_iman_victor_kwinten_onur,[black]sander_pablo_wouter_adam_sizwe,1,
2024-03-26T20:00,[white]adi_kwinten_filip_sizwe_pablo,[black]victor_bram_dobro_akbar_jay,1,
2024-04-02T20:00,[white]giovanni_luca_victor_adi_adam,[black]marco_akbar_wouter_sizwe_stijn,1,
2024-04-09T20:00,[white]sizwe_kwinten_adam_giovanni_bram,[black]pablo_akbar_luca_fais_adi,1,
2024-04-16T20:00,[white]victor_tchi_dobro_pablo_bishoy,[black]luca_adam_maarten_giovanni_akbar,1,
2024-04-18T20:00,[white]pablo_marco_arne_firat_sizwe,[black]maarten_iman_thijs_adam_nima,1,
2024-04-23T20:00,[white]reza_pablo_marco_arne_wouter,[black]giovanni_tchi_nima_michiel_samir,1,
2024-04-23T20:00,[white]victor_fais_dobro_akbar_adam,[black]bishoy_maarten_jay_luca_sizwe,1,
2024-04-23T20:00,[white]victor_fais_dobro_akbar_adam,[black]reza_pablo_marco_arne_wouter,1,
2024-04-23T20:00,[white]giovanni_tchi_nima_michiel_samir,[black]bishoy_maarten_jay_luca_sizwe,1,
2024-04-30T20:00,[white]luca_nima_reza_victor_maarten,[black]adi_tchi_sizwe_dobro_giovanni,1,
2024-05-02T20:00,[white]maarten_adi_thijs_kieran_victor,[black]luca_adam_arne_vinny_giovanni,1,
2024-05-07T20:00,[white]reza_adam_luca_baris_filip,[black]adi_victor_maarten_onur_bishoy,1,
2024-05-07T20:00,[white]dobro_caique_tanoo_pablo_tchi,[black]firat_jay_sizwe_akbar_kwinten,1,
2024-05-07T20:00,[white]adi_victor_maarten_onur_bishoy,[black]firat_jay_sizwe_akbar_kwinten,1,
2024-05-07T20:00,[white]dobro_caique_tanoo_pablo_tchi,[black]reza_adam_luca_baris_filip,1,
2024-05-09T20:00,[white]wouter_reza_kwinten_maarten_adam,[black]luca_pablop_tchi_bishoy_sander,1,
2024-05-14T20:00,[white]maarten_victor_baris_akbar_firat,[black]tchi_adam_arne_sizwe_luca,1,
2024-05-16T20:00,[white]bishoy_maarten_pablop_pablo_victor,[black]adam_iman_nima_reza_filip,1,
2024-05-21T20:00,[white]bishoy_victor_adi_akbar_eslam,[black]tchi_adam_pablo_baris_giovanni,1,
2024-05-23T20:00,[white]wouter_maarten_giovanni_sizwe_dobro,[black]victor_bishoy_adam_reza_luca,1,
2024-05-28T20:00,[white]victor_tchi_giovanni_bishoy_adam,[black]adi_jay_maarten_sizwe_pablo,1,
2024-05-30T20:00,[white]victor_luca_bishoy_ensar_firat,[black]dobro_pablo_pablop_adam_baris,1,
2024-06-04T20:00,[white]adel_giovanni_onur_reza_sizwe,[black]adam_adi_bishoy_dobro_maarten,1,
2024-06-06T20:00,[white]adam_giovanni_pablo_reza_wouter,[black]maarten_baris_dmytro_dobro_eslam,1,
2024-06-11T20:00,[white]adi_dobro_ensar_firat_wouter,[black]bishoy_giovanni_reza_sizwe_tchi,1,
2024-06-13T20:00,[white]adel_miguel_pablop_reza_sizwe,[black]baris_bishoy_giovanni_pablo_wouter,1,
